No,SMILES,Skeletons,FunctionalGroups1,FunctionalGroups2,LUMOs,Chemical_Hardness
205,COC(=O)C(=O)OC,*COC(*)=O,*C(=O)OC,*,-0.02454 ,0.16547 
206,COC(=O)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*C(=O)OC,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.04206 ,0.16556 
207,C=CCOC(=O)C(=O)OC,*COC(*)=O,*C(=O)OC,*C=C,-0.02460 ,0.15934 
208,CCOC(=O)C(=O)OC,*COC(*)=O,*C(=O)OC,*C,-0.02253 ,0.16500 
209,C=CCCOC(=O)C(=O)OC,*COC(*)=O,*C(=O)OC,*CC=C,-0.02415 ,0.15249 
210,COC(=O)C(=O)OCOC(C)=O,*COC(*)=O,*C(=O)OC,*OC(C)=O,-0.02841 ,0.16519 
211,COCOC(=O)C(=O)OC,*COC(*)=O,*C(=O)OC,*OC,-0.02743 ,0.16393 
212,COCOCOC(=O)C(=O)OC,*COC(*)=O,*C(=O)OC,*OCOC,-0.02552 ,0.16186 
213,COC(=O)C(=O)OCOC(=O)OC,*COC(*)=O,*C(=O)OC,*OC(=O)OC,-0.03363 ,0.16395 
214,COC(=O)COC(=O)C(=O)OC,*COC(*)=O,*C(=O)OC,*C(=O)OC,-0.03068 ,0.16545 
215,COC(=O)C(=O)OCC#N,*COC(*)=O,*C(=O)OC,*C#N,-0.04445 ,0.16519 
